Indicator Code,Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Member State Code,Member State Name,Time Period,Data,Flag
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2021,4.625,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2014,2.062,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2009,2.93,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,BE,Belgium,2008,1.46,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2015,8.055,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2012,2.416,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2008,1.441,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,LT,Lithuania,2018,6.234,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2011,13.293,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2012,1.383,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2009,2.822,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,ES,Spain,2008,3.651,b
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,HR,Croatia,2016,6.327,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,IT,Italy,2022,3.562,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,NL,Netherlands,2016,2.019,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,EE,Estonia,2012,3.139,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2009,1.496,
CTX_SEC_13_2b,Context,Sectorial,C.13 Employment by economic activity,Employment in agriculture,share,% of total employment,SE,Sweden,2010,1.41,
