"Date"	"CrudeWTI"	"CrudeBrent"	"NYGasoline"	"USGGasoline"	"LAGasoline"	"NYHeatingOil"	"NYDiesel"	"USGDiesel"	"LADiesel"	"USGJetFuel"	"MBTXPropane"	"MEAN"
2020-01-02	0,32088	0,24029	0,25108	0,29753	0,10323	0,18672	0,18416	0,21157	0,22488	0,20348	-0,31201	0,1738
2020-01-03	0,34271	0,29776	0,27544	0,31683	0,17311	0,18823	0,18182	0,20146	0,21077	0,18938	-0,2619	0,19233
2020-01-06	0,32475	0,26258	0,26634	0,30494	0,20093	0,14318	0,13555	0,14962	0,16965	0,13442	-0,25984	0,16656
2020-01-07	0,29894	0,20385	0,26022	0,30615	0,19599	0,14538	0,12257	0,148	0,16918	0,13711	-0,25201	0,15776
2020-01-08	0,20311	0,18274	0,2017	0,24465	0,17947	0,0905	0,07958	0,08949	0,09126	0,07622	-0,27866	0,10546
2020-01-09	0,14121	0,11974	0,1475	0,1918	0,17893	0,04767	0,03621	0,04362	0,05879	0,02798	-0,30091	0,06296
2020-01-10	0,12591	0,10418	0,15197	0,18513	0,1899	0,02625	0,01794	0,02324	0,04981	0,0076	-0,31493	0,05155
2020-01-13	0,13083	0,08271	0,16862	0,19735	0,20387	0,01676	0,00691	0,01284	0,031	-0,00274	-0,34203	0,04601
2020-01-14	0,15961	0,09609	0,19958	0,22879	0,21214	0,03738	0,03296	0,03347	0,06847	0,01448	-0,34891	0,06673
2020-01-15	0,11699	0,07911	0,16356	0,18475	0,14994	0,0065	0,00803	0,0028	0,05036	-0,0072	-0,36578	0,03537
2020-01-16	0,12366	0,08059	0,17692	0,1681	0,13941	-0,01341	-0,01588	-0,03573	0,03937	-0,02581	-0,36765	0,02451
2020-01-17	0,12965	0,07018	0,15797	0,14336	0,10605	-0,00972	-0,00958	-0,02098	0,0341	-0,01827	-0,37463	0,01892
2020-01-20	0,09235	0,04175	0,14228	0,12973	0,02045	-0,02655	-0,02516	-0,03954	0,00913	-0,03431	-0,38102	-0,00645
2020-01-21	0,08675	0,0238	0,13618	0,12342	0,01548	-0,0462	-0,04403	-0,05959	0,00322	-0,05447	-0,38248	-0,01799
2020-01-22	0,07929	0,01987	0,12753	0,11031	0,01891	-0,0581	-0,05479	-0,06953	-0,00916	-0,064	-0,40822	-0,02799
2020-01-23	0,05854	0,00344	0,13126	0,11071	0,13748	-0,05175	-0,04997	-0,06838	0,01591	-0,06535	-0,41333	-0,0174
2020-01-24	0,02172	-0,02865	0,10021	0,08084	0,14106	-0,07821	-0,08032	-0,08981	-0,01318	-0,08466	-0,41471	-0,04052
2020-01-27	-0,00822	-0,04798	0,06756	0,05179	0,16551	-0,11536	-0,11743	-0,13126	-0,0446	-0,12963	-0,42647	-0,06692
